timestamp,model,subject,test_acc
20250914_213453,sinca,1,0.8744888366627496
20250914_213606,sinca,2,0.8856634746922023
20250914_213736,sinca,3,0.9170085470085473
20250914_213846,sinca,4,0.8062000000000001
20250914_213952,sinca,5,0.8519047619047618
20250914_214053,sinca,6,0.8233129833129831
20250914_214215,sinca,7,0.7860199004975125
20250914_214305,sinca,8,0.9145135628586334
20250914_214354,sinca,9,0.8442342342342344
20250914_214517,sinca,10,0.854871794871795
20250914_214730,sinca,11,0.7314655253859382
20250914_214918,sinca,12,0.856915852221529
20250914_215027,sinca,13,0.8315848242608803
20250914_215208,sinca,14,0.7651515151515151
20250914_215326,sinca,15,0.8697052752989741
20250914_215431,sinca,16,0.808100233100233
20250914_215535,sinca,17,0.8895061728395065
20250914_215717,sinca,18,0.8330434782608698
20250914_215850,sinca,19,0.8574131944444446
20250914_220006,sinca,20,0.824400986610289
20250914_220105,sinca,21,0.7572928608650338
20250914_220212,sinca,22,0.8500676246830091
20250914_220323,sinca,23,0.8007172391857506
20250914_220454,sinca,24,0.7082978723404255
20250914_220602,sinca,25,0.8083354866494401
20250914_220802,sinca,26,0.8322641509433962
20250914_220917,sinca,27,0.7931666666666667
20250914_221059,sinca,28,0.7317704203013482
20250914_221204,sinca,29,0.8310526315789474
20250914_221353,sinca,30,0.7954424908424911
20250914_221533,sinca,31,0.7992948717948717
20250914_221656,sinca,32,0.8554661823213977
20250914_221812,sinca,33,0.8978260869565216
20250914_221942,sinca,34,0.8681991238550382
20250914_222127,sinca,35,0.8018787878787879
20250914_222229,sinca,36,0.7947858017135861
20250914_222341,sinca,37,0.8864341085271318
20250914_222527,sinca,38,0.8546808510638298
20250914_222731,sinca,39,0.7883928571428571
20250914_222824,sinca,40,0.9127956989247312
20250920_171659,sinca,1,0.8744888366627496
20250920_171813,sinca,2,0.8856634746922023
20250920_171942,sinca,3,0.9170085470085473
20250920_172050,sinca,4,0.8062000000000001
20250920_172155,sinca,5,0.8519047619047618
20250920_172257,sinca,6,0.8233129833129831
20250920_172420,sinca,7,0.7860199004975125
20250920_172509,sinca,8,0.9145135628586334
20250920_172558,sinca,9,0.8442342342342344
20250920_172723,sinca,10,0.854871794871795
20250920_172931,sinca,11,0.7314655253859382
20250920_173118,sinca,12,0.856915852221529
20250920_173228,sinca,13,0.8315848242608803
20250920_173407,sinca,14,0.7651515151515151
20250920_173527,sinca,15,0.8697052752989741
20250920_173631,sinca,16,0.808100233100233
20250920_173735,sinca,17,0.8895061728395065
20250920_173921,sinca,18,0.8330434782608698
20250920_174056,sinca,19,0.8574131944444446
20250920_174215,sinca,20,0.824400986610289
20250920_174312,sinca,21,0.7572928608650338
20250920_174421,sinca,22,0.8500676246830091
20250920_174534,sinca,23,0.8007172391857506
20250920_174700,sinca,24,0.7082978723404255
20250920_174814,sinca,25,0.8083354866494401
20250920_175012,sinca,26,0.8322641509433962
20250920_175125,sinca,27,0.7931666666666667
20250920_175306,sinca,28,0.7317704203013482
20250920_175409,sinca,29,0.8310526315789474
20250920_175602,sinca,30,0.7954424908424911
20250920_175742,sinca,31,0.7992948717948717
20250920_175903,sinca,32,0.8554661823213977
20250920_180019,sinca,33,0.8978260869565216
20250920_180149,sinca,34,0.8681991238550382
20250920_180333,sinca,35,0.8018787878787879
20250920_180434,sinca,36,0.7947858017135861
20250920_180546,sinca,37,0.8864341085271318
20250920_180729,sinca,38,0.8546808510638298
20250920_180931,sinca,39,0.7883928571428571
20250920_181021,sinca,40,0.9127956989247312
